,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,11,9970565,12.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-06-10,2022-06-16
1,2,1.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,9,8254513,-12.4%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-06-10,2022-06-16
2,3,4.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,14,8097429,11.9%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-06-10,2022-06-16
3,4,7.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",12,7248407,9.7%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-06-10,2022-06-16
4,5,24.0,Tu Tava Na Revoada,Wesley Safadão,4,7196059,75.8%,https://www.youtube.com/watch?v=GmlBAosY3V0,2022-06-10,2022-06-16
5,6,5.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,48,6779259,-3.7%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-06-10,2022-06-16
6,7,3.0,ACORDA PEDRINHO,Jovem Dionisio,4,6304791,-22.8%,https://www.youtube.com/watch?v=d-tx9D4a8dc,2022-06-10,2022-06-16
7,8,6.0,Me Chama de Amor (feat. Mc Treyce) (feat. Mc Treyce),O Tubarão,10,6090535,-8.2%,https://www.youtube.com/watch?v=J9AfRmtdqGs,2022-06-10,2022-06-16
8,9,10.0,Malvada,Zé Felipe,20,5789670,-2.3%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-06-10,2022-06-16
9,10,9.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",11,5727981,-4.3%,https://www.youtube.com/watch?v=273pasBKH18,2022-06-10,2022-06-16
10,11,11.0,Bloqueado (Ao Vivo),Gusttavo Lima,29,5604847,-3.6%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-06-10,2022-06-16
11,12,12.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",16,5587168,-1.9%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-06-10,2022-06-16
12,13,13.0,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,2,5587029,-1.7%,https://www.youtube.com/watch?v=y3FdInN6n48,2022-06-10,2022-06-16
13,14,19.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,41,5567786,17.3%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-06-10,2022-06-16
14,15,14.0,Vampiro,"Matuê, WIU & Teto",11,5523599,-1.6%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-06-10,2022-06-16
15,16,17.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,22,5463773,3.1%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-06-10,2022-06-16
16,17,15.0,No Ouvidinho,Felipe Amorim,12,5288975,-4.3%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-06-10,2022-06-16
17,18,8.0,Dengo (Ao Vivo),João Gomes,6,5229059,-18.6%,https://www.youtube.com/watch?v=mqYjyQG11GQ,2022-06-10,2022-06-16
18,19,25.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,8,5118768,32.2%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-06-10,2022-06-16
19,20,16.0,A Cara do Crime 3 (Brinde à Liberdade),"Mc Poze do Rodo, Orochi, Filipe Ret, Mainstreet & Bielzin",3,4726000,-14%,https://www.youtube.com/watch?v=3aKrgl3-Unc,2022-06-10,2022-06-16
20,21,18.0,Fim de Semana no Rio,Teto,12,4714089,-9.6%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-06-10,2022-06-16
21,22,33.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,4,4249232,22%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-06-10,2022-06-16
22,23,22.0,X1,MC Cabelinho & Dallass,12,4194158,1.2%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-06-10,2022-06-16
23,24,29.0,Seu Perfil (Ao Vivo),Henrique & Juliano,20,4146242,11.5%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-06-10,2022-06-16
24,25,23.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,19,4029545,-2.2%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-06-10,2022-06-16
25,26,47.0,Intuição (Ao Vivo),Mari Fernandez,6,4023636,31.8%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-06-10,2022-06-16
