,main_artist,dim_artist_id,artist_id_spotify,genres
0,Xamã,78ce7195e7bcca44e6934d5d5735fb04,5YwzDz4RJfTiMHS4tdR5Lf,"['brazilian hip hop', 'trap brasileiro']"
1,Paulo Pires,84c919f21baf69a0d5c3cdb8fdc2a428,3whgFbrRxsOmYVrq3t4hCY,"['arrocha', 'arrochadeira', 'piseiro']"
2,MC Danny & Zé Felipe,74dbeed69a2464bf99ebac9ad0a69f2b,3PZTvUS5fUUhV3EKAjqdZk,['rave funk']
3,Tierry,390562e35c3cc4fa80f7bf5fbef01598,4FUMTycjZlEY6ZxMgqNjC8,"['arrocha', 'sertanejo universitario']"
4,Marcynho Sensação,79d2867f969c32bb690e0dd32c652884,4dnPDc045bVjibyATxVUOs,"['arrocha', 'forro']"
5,Marília Mendonça & Maiara & Maraisa,688dfda183f0c76eba7eeb30d67b64fc,1yR65psqiazQpeM79CcGh8,"['arrocha', 'sertanejo', 'sertanejo universitario']"
6,George Henrique & Rodrigo & Marília Mendonça,4a3be88b89a6ede39adfe89998b1c2e4,3FlCKtwOEYQQYyGVEbxG2Z,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
7,Tayrone & Marília Mendonça,fd12100c713db67a5057695ae381dfe0,2T1se5h5FRkw7ZfR7yxdlm,"['arrocha', 'forro']"
8,Dj Matt D & Menor MC,0559482d8f430b85d9eb71f62babc032,1rIc4yTieeRq25NA3T8RQ5,['funk consciente']
9,PEDRO SAMPAIO,cb6ae991e6b4ac09c3b9bc9194d62895,5wbf52LA6kcaboHSN6NEF1,"['funk carioca', 'funk rj']"
10,Anitta & PEDRO SAMPAIO,a8a5a113aa926c8b33c4df2b18567b98,7FNnA9vBm6EKceENgCGRMb,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
11,Ávine Vinny & Matheus Fernandes,64d5d9a26a325f92565427b9cb71db0f,37mqXU98U5GmH5ZDtlHM1c,"['arrocha', 'forro']"
12,Matheus Fernandes & Dilsinho,15bf2e5dc9dd3bf34116773a874b3fd4,37mqXU98U5GmH5ZDtlHM1c,"['arrocha', 'forro']"
13,Mc Poze do Rodo,07c62000cd08d7eef6f492bfdde748bf,28ie4NNTa2VW2QV4Zray8M,['funk carioca']
14,Di Paullo & Paulino,a8a1d3473365a2ce00b178f97a1e5d73,1e5A3rWcqk9WfLjeg5T3dI,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
15,Distrito 23,30feeaee0cd3f5fcf592fdca8e295b12,5itNRAG8DPcD6Yrm1rFPLv,['trap brasileiro']
16,Zé Felipe & Marcynho Sensação,1a0ab1b06d7b77ef8726beb06242003f,7cmuxPnXRJxwuYDHfbD8Eu,"['agronejo', 'arrocha', 'arrochadeira', 'sertanejo', 'sertanejo universitario']"
17,Gusttavo Lima,08f4ccbcdb3802e2591d7f8f6ddd1f12,7MiDcPa6UiV3In7lIM71IN,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
18,Gloria Groove,344a5aa3f014f015a580c6f2a2df710b,7rXMvXRnWHaSwnVvPeUUfw,"['funk carioca', 'pop lgbtq+ brasileira']"
19,Tarcísio do Acordeon,3438008beda9474c302107862ff032ef,48HORs6F9P7IgdyKrk4MZC,"['arrocha', 'forro']"
20,MC LEVIN,1811e6019816e851065b10dc7068a287,0guw2RGoUqaWKpoCY5DzWY,"['funk carioca', 'funk mtg']"
21,João Gomes & Vitor Fernandes,a81c091370d394384632c870b12f912a,4JNo6Q5KdcRf1vtSX9mB0S,"['forro', 'piseiro']"
22,Matuê & L7NNON,acd8a84ff5f20ed84c962d8e6ca79795,5nP8x4uEFjAAmDzwOEc9b8,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']"
23,Henrique & Juliano,7a0c2e34114d28c3c0703d6c0f591acf,3p7PcrEHaaKLJnPUGOtRlT,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
24,DJ BOY,c74dc0e555529590f5a83fd45f8a8aa6,5ncITNKBT3RMa1U2NsuE7V,['funk consciente']
25,Os Barões Da Pisadinha,364fa5ffeb4f67aa1db2a3d2b8487ae4,5Lv2GUVwqmQBPwrTrxucE5,"['agronejo', 'arrocha', 'forro', 'piseiro', 'sertanejo universitario']"
26,Brisa Star,488e00b6f40a99d2801d586069b041fc,7fKfVo62Yx50GtTdIgeBqk,"['arrocha', 'forro']"
27,Brisa Star & Zé Vaqueiro,66d67e627713f7058cd43edfee93a5e7,7fKfVo62Yx50GtTdIgeBqk,"['arrocha', 'forro']"
28,Zé Felipe & Os Barões Da Pisadinha,86d9aacf0507e27e65f40c2df0334396,5Lv2GUVwqmQBPwrTrxucE5,"['agronejo', 'arrocha', 'forro', 'piseiro', 'sertanejo universitario']"
29,Mc Davi,5aa5f1773cfc14392acafabd7bf33545,1cYhx7ZOhYoVmnDPb9KMwo,"['funk carioca', 'funk mtg', 'funk paulista']"
30,Felipe Amorim,61e7af31b12a9c46d149393dd3ffa88b,3CIIaeZuFYrAD6PRVyuO4U,"['arrocha', 'arrochadeira', 'forro']"
31,Dj Guuga & DJ Ivis,937698318618addf0402ca379460a81b,2tqbdiza6tmlpAtKUZwhnE,['phonk brasileiro']
32,POCAH,53fee57437317ef95292513b44abb9c2,11iQCRz636WFdHj42qxAF6,"['funk carioca', 'funk rj', 'pagode baiano', 'pop lgbtq+ brasileira']"
33,Marília Mendonça,3da163afe978a29fb5ba303b0079b80b,1yR65psqiazQpeM79CcGh8,"['arrocha', 'sertanejo', 'sertanejo universitario']"
34,Priscila Senna,567fae4c550954dc3f298f37de559aef,44F6hbmusaHQR96WFbo6Lv,"['arrocha', 'brega romantico', 'forro', 'forro de favela']"
35,Zé Neto & Cristiano,89e9cac3f41d2092e25d9c9da0fbd3eb,487N2T9nIPEHrlTZLL3SQs,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
36,MC Kelvinho,d34dc2104e544e111cdbd63028653ecb,1S4ASTDQvMwm6jP95pIsYB,"['funk consciente', 'funk ostentacao', 'funk paulista']"
37,MC Joãozinho VT,6711ac8a87bf94343f65eb1d6e4eacd3,6XFc29m1ptfUNmaa1UTuBT,['funk paulista']
38,MC Don Juan,d4c1f5472957091e5b921acdb68d41df,7Lmrb6KcIzfkmgbtokjsAL,"['arrocha', 'batidao romantico', 'funk carioca', 'funk mtg', 'funk paulista']"
39,Imagine Dragons,84bb4ff9bfc07c6611685fcc513eb6b4,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']"
40,MD Chefe & OFFLEI SOUNDS,4cd9f94cd1d2a4bea3a32e6b62f0e44d,68PYmgkbRP1qZnEWOry7sB,"['funk carioca', 'trap brasileiro']"
41,MC Cabelinho,41b6d2a5d084acb00c62b8029cfe3b57,1WQBwwssN6r8DSjUlkyUGW,"['funk consciente', 'trap brasileiro', 'trap funk']"
