,Track Name,track_video_id_youtube,dim_track_id,spotify_track_id
0,Malvadão 3,i9NOkjmBszo,5b4e5c2b7c47c5593a299bf2eedd209d,0NBgyml7T0IvUNbXIkcSpH
1,Ameaça,TNIbXs_iNq8,43226ae3a00de23e987bf02edf5db587,4fSHADbZbhpZCT9oJpxwbP
2,Toma Toma Vapo Vapo,ey6H_cBy-OQ,e54db7e8d726a7e0caaada2c1c6e6efb,5VTjBl3ddZEiG2LrH4VzyR
3,Cabeça Branca (Live),J_jJhHhYW9w,f1b41e03fcc156e1a702e7c4b6ff6c72,3QM6CkVY4uNf7kb6fzW5gO
4,Parada Louca,8hvzfKh4VEo,a4431789b8ae6e4aeaf26bbf58efc986,72g37RoelSnovZakG5MwnF
5,Presepada,MQv__TADEGM,02368b013c79057f9bae2573b6d64557,3YvE7uo4ffseBoJPh8IhHp
6,Vai Lá Em Casa Hoje (Live),r2ma8WPRppk,88c8bd7f570bc9e2582987fddc1d6c83,6JxnreicJSM24DMob3b39M
7,Cê Tá Preparada (Ao Vivo),jW7j41mbxXU,7d19de2612b72439b268907d21d585a1,1tYJnXtKLoWVIL4lZOouQG
8,Pandora (feat. MC GP & Vulgo FK),6MNxuMgg58k,b2823435861110ef2840826966e27ff8,0yL7K9MzC20uBesZTPY81r
9,GALOPA,mo1NcPxKfQU,8feb8809b41c8e79ce3e1e74a9a0616c,3gK5ckT0cq3t5enyqzzRgV
10,NO CHÃO NOVINHA,ls74YCwYB4k,a644d7e27cd371e9a223bac1d790809f,7ARoqP7G8UYW8SyYPyPp7k
11,Todo Mundo Menos Você,UDVr3ab3NVM,cfd5c25448970d2a006048ef03f263de,053zWWZDziDJd3U94x8RuP
12,Coração Cachorro (Late Coração),pGttcnBBzW4,8282f275f24244e95b1deb4b50dcf264,2RGIuYTsyyHoOCqW0krvNE
13,Baby Me Atende,qMEsx__88Gk,c3148343a1a813d577f928b43d3fd405,1bWBG6IkMnDr3qvCKSvQT7
14,Esqueça-Me Se For Capaz,I8va_ChEIAI,55df7ef923da9752ae3e6bdbb48dab52,4qsOrxBv09HhNSpsgMRXdC
15,Me Sinto Abençoado (feat. Ajaxx),BKDz5kNjkfU,62bb93f6b8b158f7e37bc10ce691e058,7HjZD0NPC1hzFpjUjo45GR
16,Estrelinha (feat. Marília Mendonça),88_jnJP0OtA,150f6a1a190a8d5f02b2c06d55aa8cdf,6hFU1qqclbJkyA7gPuUNDS
17,INVEJOSO,79KWwlhbOD8,18c521e757da34835a55642d8d576cca,5YURHESoQKz81fL4IxV7NJ
18,Revoada No Colchão,0jnZreO4Dvs,d0fe8ec62bf72c7893c94f44dcac709b,4kGdnA7FzSVsXC29LPghej
19,Ficha Limpa (Ao Vivo),_7DKuv_xsuY,c935242a2a53aaf5da660d061874135f,17QN5kFprJqHdHLMj7hz4s
20,A QUEDA,BpxrvcYDnf4,b7412e97219ed7a1474093ef4db6d5ef,2s9BO8c0co0PmgBiUoTT17
21,Proteção de Tela (Live),edjih_b_NBQ,02ccd71014f1e9ac5bc4e0e7b97041d6,3v6gYFuAXQcm1EO5yW7yfX
22,A Cara do Crime (Nós Incomoda),2PRAiVs3MVc,29263026354a4220c5cd6249c1a64e27,0wRn3ggAY1fIupTaVigdza
23,Ela me Falou Que Quer Rave,,a0737e62c124dd60e97cddb309359cc8,0JdkDCdrhMOaeXjIZdeBXN
24,Se For Amor (Ao Vivo),-6J3HfX4sbg,9a08ad576a0e3ddf0ecd43164f856b56,5tIL2q2s2pAavZFECbukAg
25,Sem Dó,G-zyOLsfEBQ,a358fc045832b079e073b36be735da8f,2AQJRDfQJbfgmTf5e62Czl
26,Arranhão (Ao Vivo),2_xBCeBmaS8,c48fc5f54a00a5f4602ccafc4a2b6f76,3IMLoeLerS7TMpKjxUgAhx
27,Coração Gelado 3,2PkxaVyVLpE,bb5d927d8bce9d2e47c5ae2eb1a8d298,2aqIA7facaX2NcjHN2b9MH
28,Esquema Preferido (Ao Vivo),TCLGN6m6AMI,139fb29cd07dc7a153d2c7a36b1eb427,35qOGx1CWvCkQFOv4BkVIV
29,Se Joga no Passinho (feat. Thiago Jhonathan),EjVXeTBtNr8,b0f6d56e15f333424b43b72ae31bf874,41pFFOnh1glVNIlrWOpBjb
30,Bloqueado (Ao Vivo),14C28JSO-sg,e661b87fe4f26275cfc5bef89110a307,6nkoWsFZeFt5dUdNmlIceh
31,Cena de Amor,UI_VjxVrzHY,6e57268603b1a27dbf0284cac2b601c2,6RMYuqlTn8777j5arY9zhC
32,Senta Danada,kI5mmq5QIz4,3b3206e28c4f224df2c890ee9b93f78e,2R9IrE42Mw4zdUXAEFNiZL
33,Set dos Casados,g6yJVBaqMjo,305ee4fdde0574e3800972ab3285594f,2xebCnKCjYWBhJ4Ai8hO5E
34,Putariazinha,_30UknzUmcw,4888a3410c5c1ae31a19eff951d4678b,7JaxdBtSfqGGNyZEjGtSrg
35,"Volta Bebê, Volta Neném",x0EPgyNd9o0,7468f2fb7897b660554846e7c5a8488d,4wQUopWk9Ed7Ng5qpKN5qd
36,Passando o Rodo (feat. Lara Silva),IEDv84S-gqw,17eb1ade3cf2b3cc21e5f907dd0f7556,6z7CbJhWEVXZyFv2Y0CjCs
37,Troca de Calçada,WkYqQctOi9g,f5e7799733890027a916ff0bc174e890,4AAIAVjSyiq1N7SXKkwXZe
38,Alvejante (feat. Zé Vaqueiro),eOqp6nqukY0,32e5e0f54a19f73a9fd9c4c0404fa4d1,7fnXPPBrHSGb15iPvVgFd8
39,A Maior Saudade (Ao Vivo),6EGg0_l-edc,6be0864c19821359222ec3fedacc075a,5Q0ZnQjk4lQpScX7ujswun
40,LEILÃO,X7cz9v6mHzg,bd56e8b5996ad9afe922b59b7f038ef2,2eFsVynOiCxtI4kvX0XClm
41,Você Beberia Ou Não Beberia? (Live),pMaKEU1QzF4,fcf9b4ed9faf09c627aefd2eb102563a,1JhSerlDALvEflkHQJN1G4
42,Avisa Lá Pt.3,vZcR9Qs0IlQ,01778d8f224321fa90b297e0f4741548,7pWzcOoDF3ssFLrH5wivif
43,"Vou de Lala (feat. MC Don Juan, MC Pedrinho, MC Kelvinho & DJ BOY)",3NwlRzCzzsI,8a0fc9ad551cf31cf1e147ba33c0a294,6MQrN9fclpvR4nf0uJrG1x
44,Passar de Foguetão 2 (Ao vivo),GBXt9oB407c,e3b138fe9643baf7e2eb7ccee6307e7a,6S8rMQkUIUoMwySKtAKRGS
45,Enemy (feat. JID),D9G1VOjN_84,388a0e0eda3647f46e6efa82f122ec08,4qXKkOZ691yYgQu4Lunrds
46,Tiffany,iOM20kM2gOQ,d3457db06ab74a02fb9e373d496f4764,0ogvSCswPsKY7MSMaojWk5
47,ESSÊNCIA DE CRIA (feat. Neo Beats),hyDElqwFnYI,d9fe91da10eb694c9ddc4a8703fe07be,1iaPDgTbsKrlznVu13EWIf
48,Não Sei o Que Lá,vMMRpr2PXSw,4bf24374cb5c809ad956de94043b6af3,28m65cMH7QXHzFnZSTtNHY
49,Antes de Ir,R8s6fIccm-I,179375b1f86fb44d9f10ddc53703406d,77M4sSovNmbrBP26YGfJNZ
50,Quebradas,ENHwrVK0wn8,03b9d251ed949775410aea0d065c5a04,3LwdDMldO8zXz5jgVTQbvR
51,Carinha de Neném,aIFcLQFPWYI,e5fe391b5a62c5b47fcf6986fc6341c0,4bL8f3zRr9eqlnAPBF7jpg
52,Nota de Repúdio (Ao Vivo),y1TtVi6qm98,5e1e6bc830d3a37e4a511f0480e04434,6qdJZIjxrPaJjaGqlXFLSs
53,Formosa,HVSSnhgm8So,d734c183dc5db9bc319aa5a30b80bb88,1QmupixsVNc0osesKXraZC
54,Anota Aí,OXFN3ZMgaVk,78bf11f3dfbfc91a53616321163dc783,5a2CIQaMW3Keqtx4BdXbEY
55,Alívio,JgLFoArntlI,f816dd90d4a0656b9437ff63d1fc9d98,2oD7qIB9vDBnE3uBmEh91C
56,Cruzeiro da Revoada,kezf4Fo7B9M,184f43233ad5aa470d7c341aa5805d8a,2TkyXnE0OB6Yo9zuzv9B4e
57,Assalto Perigoso,uSNdpIhSPEU,3ebea49863aa9128e86b8848ee17f82e,49GdoM9fiTXVOx1a6JTokJ
58,ONDA DO BERIMBAU,uiF6lbyVS-4,7b391cb86815097bbd38817946dbcb19,7ypX1KnSLOXVykk0PnlUfV
59,Motel Afrodite (Live),qZxXZ2UpaBs,8b51b793c00c532ed3b1c2b420b54130,6WxpU2F5gwTzwYsAalI6nI
60,Fã Clube,gwS9nU4Aavw,1efab16fe429c5442a96f738fabff806,1G0kLIS0hE6uUPlIE9gksp
61,Ela e Ela,jyFqlWOVOC0,c113eae8dc994e62b439e793e19d5c74,7pvrsbBKUQI2QmA74WCJa5
62,Depende,v9geHIUOxeA,e15bb7cc5b487eae6f4c66c5e51f2721,6aaPUBUFw9KEW1p1inVQv9
63,Saudade e Solidão (En Vivo),SNbURUnTYCM,a6fc9291cf0813d40653aa486abfc853,7hG0G3xIjTMqhdXWCSeokS
64,ANACONDA *o* ~~~,iLTR0UyG2Yo,e58a6e546b8dd503fd375b1d8a95cdc2,2342lPAZ9zddhgAQEiLx4V
65,Eu Fiz o Jogo Virar,FXRfr5-n4bY,8685c3aefbc8ea2fc246859dad056002,53BkPZwlaLbW77uV9BnJkl
66,Bala Love,GV79m_AFQTQ,cdb035aff9c90b52ffbce90c241e3907,48Ll1C6qAnP2UjnopQDh4a
67,Uma Ex (Ao Vivo),veKig4zrOFs,ef26038d374c846e677659347c3ee00e,7xi4XR5EIOU6OHdIydLMjT
68,Não Vou Te Bloquear (Ao Vivo),6lsOfEHb4C4,f187c158964eafa2bff627005182dba3,5yRgMxdDhdYlbUQNCOlW3o
69,Eu Já Tava Bem (Ao Vivo),XpNWBVtXFsI,5403c66080668d84bea87f6772686057,5FNdfRpHs4u5vto9YdY3ft
70,Voltei pra Cachorrada,0aZWoY4rkFo,f38d41a829cc374ddef6084907027353,1yDct8mBgo25FwphztHzBK
71,EU VOU DESCENDO SIM (Ao Vivo),l6YxlH5xoiw,aeb6fd1248317f8f9dd85b0d263824ef,78g5lnALTioTYBjkyxmvlJ
72,Deprê,GKU2oQhtDxE,24c9b8a595bf180a0199c51337cc07f9,2H3wWrnO758y0fPH7Ilerg
73,Molhando O Volante (Live),_SjTFD9qVuE,6f00705f99d07d91d1006dce66ca91ff,6wY5sxKVkKTwzU73X0KSmZ
74,Não Me Arranha (Ao Vivo),CGbvMQ7xDtE,d36e1279ebb3679fa2dc6af3a631410f,6ve9hbVnSgJ0vrsRpj18OH
75,BALANÇA O OMBRINHO TRAVA PARA E JOGA O CABELO - CALMA RESPIRA,BM-OhbQE7Rw,c9d79e7dcc18b60402153502c7eeb6cd,3BCUqGVPvirkRa6g6ipBaF
76,Numanice Lud Session: Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano (Ao vivo),lhDKryCuhhs,c6d44a105d585d1d192815194d1a4ab2,3hXCANK2ys6D2HZE3kuDfz
77,Apita,Hp-hHdBgGu0,8459b37933d6d9df0399bbf62079b25d,5m2XYNroEL5ceFFPDngYe2
78,Viela,rOYh9l_bI74,22b41e0427376b4df62b1c3e9c8237fc,7zxAnXwxdZUbCB3BDnx8mJ
79,love nwantiti (ah ah ah) (feat. Kuami Eugene),MxjrsDV8Aeo,5d0f339a2e4c40341a1d54495e99090b,140dx97IbJbQhIMd7AaHeb
80,"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)",_GFpxjKHrOA,9531529dd68ae769bde5960bb4d5b261,5aqmWrDgnyQ2OVn6UgBko3
81,Passinho Debochado,zgSSwfSjoFM,9e8b63cec5b604cd418047f9191e6253,1tdDDOJRdbo1Uz47D1k62G
82,Bota a Mão no Chão,nrqq0dDpJ7w,8491c94769536a47bfc980b02fcf466b,3Lw41pfko5XMrsHRtlbo2k
83,Boquinha,TbyjnH_GpOs,78f705117a04a74068ff386be165da5b,5ECHXTiIFSyooLOfeyeMqe
84,Vamo Tomar Uma (Live),QHPvBhMDM2w,397c47d6fbf1f63f994ed2e50cf952c3,452LVnTBjXYW3guqe3xiqI
85,Acordo (Ao Vivo),Rr5yQs-s0_0,a7cedf7c5e734b171a8c4e33c33ea023,0tM4J8aID6qYZOE3e14sCj
86,Quebrando Protocolo (Ao Vivo),HYuWGkQhkeo,928fd707e8e85dd338288567aa12c5a3,4OjLi2Ji9UhVsHjqzRGCsM
87,MALDITA PERIGOSA,Amf8JCOKCUA,67300098ec49ad73839be9d091bf4718,7MJiZazhXeWZoFZlBzC7sf
88,Cheia de Manias (Ao Vivo) (feat. Thiaguinho),lxNd6LRi-PQ,6c7d3d2b46fc445c7c4989e7b03601f3,5JQQylp65Mlpm6yC2JxHHr
89,Chá De Casa Nova (Ao Vivo),9Et53l5l-FE,69253d74e936c4c878aaeb82e8ee8b99,6wrkP23fHC8KDHCfs8MpJ9
90,Era Tu,yqiBHnelayY,9a498a50a5710f6ca97cd32f159fb567,5P5a8CuLPaVRma6iDh3E23
91,"MC Paiva - Vou Dichavando o Colombinha (Áudio Oficial) DJ Victor (feat. Mc Kadu, MC GP & Mc Kanhoto)",6pNgNcGCSao,1accea304d1a92bcf28025fdb33c8ef1,04vzhKfl5HtPEgrdZJCZ7L
92,Mustang Preto,iDJM3HTdjck,1fb006c1d2bf660100ef7c8c8cefc270,6Vgn3IEUkWs3d6og029Gtm
93,Menina Debochada,lvnqCPJ1sLM,bd4864c965c41f4f21e2612c73432a80,7nOasAgAN8y6bFpF5G3AuB
94,Pegada de Malvado,NYYi3cgLvtM,69648f5b831a8d233c590b311a6832fc,2Ho2vEEJAZOAnpxl9GsFYR
95,MONEY,dNCWe_6HAM8,78aa201adbf7a09b3e088e829d47c0c6,2HbKqm4o0w5wEeEFXm2sD4
96,Ela Não Vai Voltar (Ao Vivo),b2bHm9vZYpQ,ef2279b4c8e564971d87d6eb0549aa3b,1xf6p2MZQdC4WuwrLzrgrt
98,Easy On Me,X-yIEMduRXk,ee74c3ca2a5a728542301d2e05079b69,0gplL1WMoJ6iYaPgMCL0gX
99,I Don't Want To Talk About It (Live) (feat. Amy Belle),w46bWxS9IjY,48d893ba540cbb2a91fe0083bb65bf2b,2JWKzkQbYsNzx019WyGzaH
159,Malvadão 3,fo2iXmnmx0w,80cebda82c6634efe505a27d143bc124,0NBgyml7T0IvUNbXIkcSpH
174,Beijou Meia Cidade (Ao Vivo),Oar4g59IHDI,957223891ba9c83925f5e3a8f6c386eb,0w28hyNsOQ2dELiHp5QMog
178,Universo Conspirou (Ao Vivo),FpsTsW408s4,0b39e3ff262fa09c02e10314db1ff5b6,6Xz85h33BGWDGgmWYdp6Ga
179,Mais um Favelado,txqvRehMqRg,7257610debe1e82cb8398c9c5e8cc38f,6Je9vWKLrZmXSNXMl5tzUX
184,RIO SUL (feat. DJ Felipe Rosa),0lrMyAShAmw,639207298032d93352275d619d256f8b,2jgvCXn0M81JnYRM5CkKju
185,Rasteira (Ao Vivo),lWMTOl1KPbs,b3ac4b72efc036ca3bd1462d94de7386,1TyxXIXVVpHwhKaF73z8nw
190,Por Supuesto,0vEPVBtkyaU,1fa508d29a6b9c0e1e8a13a04d70fb45,7xVSNhAUQhUIpwfR6lTOwA
191,Cara Fechada,Y_5fPfF8yBA,49a29c520a319340bcda692e1872fd09,0k5SSa0i8dj1TtFS8Ko1JJ
192,Nosso Flow,CM7CpUpirUI,177fd14df32a67669e6990adcf3acfeb,2uK2zK0CBh8w2C4Uq8qo7z
193,Perto de Você (Ao Vivo),3MRej_lv4ks,6f28e2b1e29a34e7e9a3fd4833f1a1e1,0cSIHvOAL4LqBpZnib5Ne5
195,Me Supera em Off,Sk-aqGpPheo,9c2a77f010ada717bca96559c0a7880f,5b6LOkJn4WztctHARRChfk
196,Gaiola (Ao Vivo),C0CA5U5Dl7Q,95b82045d739ee916584204dec506660,70PwecMUvcdwyunypqGHfQ
197,Pendência (Ao Vivo),GBQEYYSjEpY,f2137e10830f51710288ff41821a3a6d,1gOgWTB85kZEbt0GDpRcuY
198,abcdefu (feat. Royal & the Serpent),NaFd8ucHLuo,0872fa9c99af305216c5ae1a04462f1f,3xSyUXUkSiBLsJNpPpG4v1
201,Mal Feito (Ao Vivo),kyfXEMqvLgU,3b92f358dd558a5f7dbfc1956fc49a12,6Zw25LRLP0j0MsezDFIUM4
202,212,290Q1JFInHE,b46331488fcde837869865fbc6dbf95a,7mDKRYiqejoHzP7dQGxLys
207,Vontade De Morder,bgf18kANm_k,7c6645a04dc6d827fb380a41865ee913,4lsDFVKOVwPeAVw1hPOn7G
253,Culpados (Ao Vivo),rkpiXbOZcwo,7032bf4df95549805864d23630779e3d,1rjXAVxq805cVby3SsB165
