,Rank,Previous Rank,week_open,week_close,Weeks on Chart,Views,Weekly Growth,fact_id,dim_track_id,dim_artist_id
0,1,3.0,2021-12-31,2022-01-06,3,19485871,46%,4ab67d16d06bd4ceb3d8ce1f2db52e08,5b4e5c2b7c47c5593a299bf2eedd209d,78ce7195e7bcca44e6934d5d5735fb04
1,2,2.0,2021-12-31,2022-01-06,11,13978966,-15.8%,a84931582610ce88534a84a09fd32984,43226ae3a00de23e987bf02edf5db587,84c919f21baf69a0d5c3cdb8fdc2a428
2,3,1.0,2021-12-31,2022-01-06,8,13091729,-42.3%,f30a0696ffa18ce35066ecb7c6f646e7,e54db7e8d726a7e0caaada2c1c6e6efb,74dbeed69a2464bf99ebac9ad0a69f2b
3,4,4.0,2021-12-31,2022-01-06,14,12734227,-2.9%,a0899ac43edb598d4cb5fb7efeea2f66,f1b41e03fcc156e1a702e7c4b6ff6c72,390562e35c3cc4fa80f7bf5fbef01598
4,5,5.0,2021-12-31,2022-01-06,8,10158615,-15%,a1ff6e04bad9fb55d262d5cac66bd670,a4431789b8ae6e4aeaf26bbf58efc986,79d2867f969c32bb690e0dd32c652884
5,6,7.0,2021-12-31,2022-01-06,10,9138258,-15.4%,b0873b7e3e068578f7bdbe0a07dd7103,02368b013c79057f9bae2573b6d64557,688dfda183f0c76eba7eeb30d67b64fc
6,7,6.0,2021-12-31,2022-01-06,10,8361692,-27%,a8018473cc79f2dfef65a88e3d16bfc7,88c8bd7f570bc9e2582987fddc1d6c83,4a3be88b89a6ede39adfe89998b1c2e4
7,8,8.0,2021-12-31,2022-01-06,25,8227972,-18.3%,e0873ef3fb51fe6a0123d39b1495939c,7d19de2612b72439b268907d21d585a1,fd12100c713db67a5057695ae381dfe0
8,9,10.0,2021-12-31,2022-01-06,6,7977472,-12.2%,f374fb684a91174700c2f66814d80ed2,b2823435861110ef2840826966e27ff8,0559482d8f430b85d9eb71f62babc032
9,10,9.0,2021-12-31,2022-01-06,14,7961059,-13.8%,fe6bdbd9407e0d3b79c34f39778f8f13,8feb8809b41c8e79ce3e1e74a9a0616c,cb6ae991e6b4ac09c3b9bc9194d62895
10,11,17.0,2021-12-31,2022-01-06,4,7281472,14.1%,498d0c8111883669773b37fd32d3487c,a644d7e27cd371e9a223bac1d790809f,a8a5a113aa926c8b33c4df2b18567b98
11,12,11.0,2021-12-31,2022-01-06,15,6743798,-24.6%,02b182da5ea6c1c94bc5f5e8accf59d4,cfd5c25448970d2a006048ef03f263de,688dfda183f0c76eba7eeb30d67b64fc
12,13,13.0,2021-12-31,2022-01-06,15,5954721,-20.2%,59db1a858117f5c4b346aa5602d35659,8282f275f24244e95b1deb4b50dcf264,64d5d9a26a325f92565427b9cb71db0f
13,14,14.0,2021-12-31,2022-01-06,41,5911827,-18.3%,acbf2584aa94f54f1cfc5e372c22a712,c3148343a1a813d577f928b43d3fd405,15bf2e5dc9dd3bf34116773a874b3fd4
14,15,12.0,2021-12-31,2022-01-06,12,5851850,-21.7%,02bc7ce7dfb12cb51f5252531699602f,55df7ef923da9752ae3e6bdbb48dab52,688dfda183f0c76eba7eeb30d67b64fc
15,16,16.0,2021-12-31,2022-01-06,5,5838036,-8.6%,dfe73ed81bb9ee0722e55984973ce104,62bb93f6b8b158f7e37bc10ce691e058,07c62000cd08d7eef6f492bfdde748bf
16,17,18.0,2021-12-31,2022-01-06,12,5390476,-14.9%,716799f8de72c21d7f3a4f740079b1cb,150f6a1a190a8d5f02b2c06d55aa8cdf,a8a1d3473365a2ce00b178f97a1e5d73
17,18,32.0,2021-12-31,2022-01-06,8,5232666,11.9%,daebd987cac2f04a19a686a790b9df5e,18c521e757da34835a55642d8d576cca,30feeaee0cd3f5fcf592fdca8e295b12
18,19,15.0,2021-12-31,2022-01-06,17,5226280,-18.7%,e8f3b33af6d27c96ad308ca424ed7ba7,d0fe8ec62bf72c7893c94f44dcac709b,1a0ab1b06d7b77ef8726beb06242003f
19,20,20.0,2021-12-31,2022-01-06,30,5153388,-13.8%,cd98c7e5b6af26763b3d271808b9f828,c935242a2a53aaf5da660d061874135f,08f4ccbcdb3802e2591d7f8f6ddd1f12
20,21,21.0,2021-12-31,2022-01-06,12,5024556,-14.7%,a9480cc0440af6a7a51b3eba9016e99a,b7412e97219ed7a1474093ef4db6d5ef,344a5aa3f014f015a580c6f2a2df710b
21,22,19.0,2021-12-31,2022-01-06,27,4850611,-20%,446ce440ebd06d77118ec21b139f90bc,02ccd71014f1e9ac5bc4e0e7b97041d6,3438008beda9474c302107862ff032ef
22,23,28.0,2021-12-31,2022-01-06,32,4622221,-8.6%,0a50adcdf8c3bd3da845a07c248a0a1f,29263026354a4220c5cd6249c1a64e27,07c62000cd08d7eef6f492bfdde748bf
23,24,27.0,2021-12-31,2022-01-06,11,4499729,-11.3%,d0d04ace542b3870ec5c8a30cd1c22d6,a0737e62c124dd60e97cddb309359cc8,1811e6019816e851065b10dc7068a287
24,25,22.0,2021-12-31,2022-01-06,31,4317709,-26%,7c816a8ec1bcd8f5218e79658d47c6ad,9a08ad576a0e3ddf0ecd43164f856b56,a81c091370d394384632c870b12f912a
25,26,,2021-12-31,2022-01-06,1,4312086,,e15572e552d075485fbdd28251c73502,a358fc045832b079e073b36be735da8f,acd8a84ff5f20ed84c962d8e6ca79795
26,27,24.0,2021-12-31,2022-01-06,22,4285494,-19%,86c7cf9bfcd16ba087875711e1b4a7e4,c48fc5f54a00a5f4602ccafc4a2b6f76,7a0c2e34114d28c3c0703d6c0f591acf
27,28,25.0,2021-12-31,2022-01-06,3,4272343,-18.2%,5e5a6f735f82278adbdeff89f401ff22,bb5d927d8bce9d2e47c5ae2eb1a8d298,c74dc0e555529590f5a83fd45f8a8aa6
28,29,23.0,2021-12-31,2022-01-06,41,4271496,-19.4%,945ec821b67df8a830933da64cf8cf59,139fb29cd07dc7a153d2c7a36b1eb427,364fa5ffeb4f67aa1db2a3d2b8487ae4
29,30,26.0,2021-12-31,2022-01-06,29,4221040,-17%,fdb0445b67adee94ac736b0f1d6d7e21,b0f6d56e15f333424b43b72ae31bf874,488e00b6f40a99d2801d586069b041fc
30,31,39.0,2021-12-31,2022-01-06,6,4168947,-0.3%,a20a2f3b5e7865493802c92c6ae18dee,e661b87fe4f26275cfc5bef89110a307,08f4ccbcdb3802e2591d7f8f6ddd1f12
31,32,30.0,2021-12-31,2022-01-06,23,4063803,-17.7%,3cd0d188160605e5d267c64259eaed1c,6e57268603b1a27dbf0284cac2b601c2,66d67e627713f7058cd43edfee93a5e7
32,33,31.0,2021-12-31,2022-01-06,25,4049543,-16.6%,b91750d03a15b1e80f1bbd60712bb6c2,3b3206e28c4f224df2c890ee9b93f78e,86d9aacf0507e27e65f40c2df0334396
33,34,40.0,2021-12-31,2022-01-06,16,3952239,-3.1%,e8c52f8fb80f62e915cfef79c0b96907,305ee4fdde0574e3800972ab3285594f,5aa5f1773cfc14392acafabd7bf33545
34,35,29.0,2021-12-31,2022-01-06,15,3877267,-22.9%,6977ffadc60c42ad2440576e6ef3287e,4888a3410c5c1ae31a19eff951d4678b,61e7af31b12a9c46d149393dd3ffa88b
