,Unnamed: 0,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close,main_artist,track_video_id_youtube,yt_published_dates
0,0,1,3.0,Malvadão 3,Xamã,3,19485871,46%,https://www.youtube.com/watch?v=i9NOkjmBszo,2021-12-31,2022-01-06,Xamã,i9NOkjmBszo,2021-11-30T15:00:10Z
1,1,2,2.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",11,13978966,-15.8%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2021-12-31,2022-01-06,Paulo Pires,TNIbXs_iNq8,2021-10-08T20:57:29Z
2,2,3,1.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,8,13091729,-42.3%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2021-12-31,2022-01-06,MC Danny & Zé Felipe,ey6H_cBy-OQ,2021-11-12T15:00:11Z
3,3,4,4.0,Cabeça Branca (Live),Tierry,14,12734227,-2.9%,https://www.youtube.com/watch?v=J_jJhHhYW9w,2021-12-31,2022-01-06,Tierry,J_jJhHhYW9w,2021-10-01T15:00:13Z
4,4,5,5.0,Parada Louca,Marcynho Sensação,8,10158615,-15%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2021-12-31,2022-01-06,Marcynho Sensação,8hvzfKh4VEo,2022-08-10T22:07:33Z
5,5,6,7.0,Presepada,Marília Mendonça & Maiara & Maraisa,10,9138258,-15.4%,https://www.youtube.com/watch?v=MQv__TADEGM,2021-12-31,2022-01-06,Marília Mendonça & Maiara & Maraisa,MQv__TADEGM,2021-10-22T14:00:14Z
6,6,7,6.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,10,8361692,-27%,https://www.youtube.com/watch?v=r2ma8WPRppk,2021-12-31,2022-01-06,George Henrique & Rodrigo & Marília Mendonça,r2ma8WPRppk,2021-10-22T13:59:34Z
7,7,8,8.0,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,25,8227972,-18.3%,https://www.youtube.com/watch?v=jW7j41mbxXU,2021-12-31,2022-01-06,Tayrone & Marília Mendonça,jW7j41mbxXU,2021-07-16T14:03:42Z
8,8,9,10.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,6,7977472,-12.2%,https://www.youtube.com/watch?v=6MNxuMgg58k,2021-12-31,2022-01-06,Dj Matt D & Menor MC,6MNxuMgg58k,2021-11-26T21:00:08Z
9,9,10,9.0,GALOPA,PEDRO SAMPAIO,14,7961059,-13.8%,https://www.youtube.com/watch?v=mo1NcPxKfQU,2021-12-31,2022-01-06,PEDRO SAMPAIO,mo1NcPxKfQU,2021-09-17T15:00:29Z
10,10,11,17.0,NO CHÃO NOVINHA,Anitta & PEDRO SAMPAIO,4,7281472,14.1%,https://www.youtube.com/watch?v=ls74YCwYB4k,2021-12-31,2022-01-06,Anitta & PEDRO SAMPAIO,ls74YCwYB4k,2021-12-10T15:00:33Z
11,11,12,11.0,Todo Mundo Menos Você,Marília Mendonça & Maiara & Maraisa,15,6743798,-24.6%,https://www.youtube.com/watch?v=UDVr3ab3NVM,2021-12-31,2022-01-06,Marília Mendonça & Maiara & Maraisa,UDVr3ab3NVM,2021-09-23T23:00:11Z
12,12,13,13.0,Coração Cachorro (Late Coração),Ávine Vinny & Matheus Fernandes,15,5954721,-20.2%,https://www.youtube.com/watch?v=pGttcnBBzW4,2021-12-31,2022-01-06,Ávine Vinny & Matheus Fernandes,pGttcnBBzW4,2021-09-10T21:15:11Z
13,13,14,14.0,Baby Me Atende,Matheus Fernandes & Dilsinho,41,5911827,-18.3%,https://www.youtube.com/watch?v=qMEsx__88Gk,2021-12-31,2022-01-06,Matheus Fernandes & Dilsinho,qMEsx__88Gk,2021-02-26T14:00:18Z
14,14,15,12.0,Esqueça-Me Se For Capaz,Marília Mendonça & Maiara & Maraisa,12,5851850,-21.7%,https://www.youtube.com/watch?v=I8va_ChEIAI,2021-12-31,2022-01-06,Marília Mendonça & Maiara & Maraisa,I8va_ChEIAI,2021-10-15T23:00:12Z
15,15,16,16.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,5,5838036,-8.6%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2021-12-31,2022-01-06,Mc Poze do Rodo,BKDz5kNjkfU,2021-12-07T17:00:08Z
16,16,17,18.0,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,12,5390476,-14.9%,https://www.youtube.com/watch?v=88_jnJP0OtA,2021-12-31,2022-01-06,Di Paullo & Paulino,88_jnJP0OtA,2018-02-16T15:57:02Z
17,17,18,32.0,INVEJOSO,"Distrito 23, Raffé, Chefin & Oruam",8,5232666,11.9%,https://www.youtube.com/watch?v=79KWwlhbOD8,2021-12-31,2022-01-06,Distrito 23,79KWwlhbOD8,2021-10-23T21:00:11Z
18,18,19,15.0,Revoada No Colchão,Zé Felipe & Marcynho Sensação,17,5226280,-18.7%,https://www.youtube.com/watch?v=0jnZreO4Dvs,2021-12-31,2022-01-06,Zé Felipe & Marcynho Sensação,0jnZreO4Dvs,2021-09-17T15:00:10Z
19,19,20,20.0,Ficha Limpa (Ao Vivo),Gusttavo Lima,30,5153388,-13.8%,https://www.youtube.com/watch?v=_7DKuv_xsuY,2021-12-31,2022-01-06,Gusttavo Lima,_7DKuv_xsuY,2021-06-11T14:00:02Z
